2019-10-29 16:33:15,723 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2019-10-29 16:58:25,116 [-] [PassThroughMessageProcessor-12]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:01:08,409 [-] [PassThroughMessageProcessor-78]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:14:14,352 [-] [PassThroughMessageProcessor-109]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:22:38,243 [-] [PassThroughMessageProcessor-132]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/1.0.0/domains
2019-10-29 18:22:38,390 [-] [PassThroughMessageProcessor-133]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:22:54,786 [-] [PassThroughMessageProcessor-135]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /carties/1.0.0/domains
2019-10-29 18:30:05,612 [-] [PassThroughMessageProcessor-150]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:30:14,527 [-] [PassThroughMessageProcessor-153]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:30:34,701 [-] [PassThroughMessageProcessor-156]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:30:37,935 [-] [PassThroughMessageProcessor-159]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:30:55,590 [-] [PassThroughMessageProcessor-165]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:32:55,094 [-] [PassThroughMessageProcessor-173]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:32:58,086 [-] [PassThroughMessageProcessor-176]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:34:28,461 [-] [PassThroughMessageProcessor-182]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:35:17,477 [-] [PassThroughMessageProcessor-185]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:35:23,204 [-] [PassThroughMessageProcessor-194]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:35:24,548 [-] [PassThroughMessageProcessor-200]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:35:55,573 [-] [PassThroughMessageProcessor-203]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:42:32,780 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2019-10-29 18:42:32,793 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2019-10-29 18:42:32,795 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
